id,kind,category,name,url,axis,market,cycle_status,deadline,fee,verdict,verdict_reason,verified,found_by_pipeline
P1,positive,award,Greenprint GET Breakthrough Innovation Award 2027,https://andpurpose.world/apply-for-greenprint-get-breakthrough-innovation-award/,entrant+impact,india,open,2026-09-30,none,eligible,Startups based in India contributing to systemic transformation within the green economy; award not grant,yes,no
P2,positive,award,Startup Mahakumbh 6.0 Awards,https://startupmahakumbh.co.in/awards,entrant,india,open,2026-10-30,INR 8000 plus GST per category,eligible,Any organization entrepreneur or allied-sector player can apply; 50+ categories including GreenTech CleanTech AI,yes,no
P3,positive,award,Bharat ESG Awards 2027,https://www.bharatesg.org,impact+entrant,india,open,2026-11-15,phase 1 free,eligible,Startups registered and operating in India and SMEs both named; Circular Economy and E-Waste categories,yes,yes
P4,positive,research,CVPR 2027,https://cvpr.thecvf.com/Conferences/2027/CallForPapers,capability,global,open,2026-11-16,none stated,eligible,No affiliation restriction; industry submissions accepted; workshops the realistic route,yes,no
P5,positive,event,IFAT India 2027,https://ifat-india.com/en/,sector+market,india,open,2027-09-29 event,exhibitor fee,eligible,India's largest water sewage waste and recycling trade fair; exhibit or speak,yes,no
P6,positive,award,Plastic Recycling Conference Asia 2027 Excellence Awards,https://prca.polymint.co/awards,sector+market,india,open,not stated,not stated,unclear,Eleven categories including Organisation of the Year; eligibility behind a form not on the page,yes,yes
P7,positive,award,Awards for Excellence 2027,https://www.awardsforexcellence.co.uk,market+sector,uk,open,entries open shortly,free all categories,eligible,25 categories including AI or Technology of the Year; Retearn operates in the UK,yes,yes
P8,positive,event,Wastetech India Expo,https://wastetechindia.com,sector+market,india,open,2026-11-27 event,exhibitor fee,eligible,Coimbatore waste technology expo,yes,yes
C1,programme,award,NASSCOM Emerge 50,https://nasscom.in/emerge50/,entrant+capability,india,closed,2026-05-17,not stated,unclear,India-registered and turnover under 100cr and founded after 2016 all pass; requires an independent company not a subsidiary or spin-off and Retearn operates within the Recykal group,yes,no
C2,programme,award,Marico Innovation for India,https://www.maricoinnovationfoundation.org/innovation-for-india-awards/,capability,india,closed,applications closed,not stated,eligible,Business category open to India-based for-profit startups; next cycle to watch finale 2027-03-04,yes,no
C3,programme,research,Climate Change AI at NeurIPS 2026,https://www.climatechange.ai/events/neurips2026,capability+impact,global,closed,2026-08-29,none,eligible,Papers track explicitly covers deployed results from startups industry public institutions; recurs at NeurIPS ICLR ICML,yes,no
C4,programme,award,National Recycling Awards 2026,https://nra.mrw.co.uk,market+sector,uk,closed,2026-07-10,not stated,eligible,UK recycling sector awards; secondary market,yes,yes
N1,negative,award,Vishwakarma Awards 2026-27,https://www.vishwakarma-awards.org/,capability,india,open,2026-09-20,none,not_eligible,Teams of 2-5 students from recognised STEM and Design colleges; student competition,yes,no
N2,negative,award,AI for Good Impact Awards,https://aiforgood.itu.int/ai-for-good-impact-awards/,capability+impact,global,closed,2026-03-29,none,not_eligible,Startups are ineligible and should apply to the Innovation Factory instead,yes,partial
N3,negative,award,EU CERC Business Awards,https://www.sitra.fi/en/eu-cerc/business-awards-by-the-eu-cerc/,sector,eu,closed,not stated,none,not_eligible,MSMEs in EU partner countries; India not ODA-eligible under their definition,yes,yes
N4,negative,directory,UK tender notices search,https://bidstats.uk/tenders?q=waste+management,none,uk,n/a,n/a,n/a,not_eligible,Tender-notice search results; procurement not recognition and not a programme,yes,yes
N5,negative,directory,Conference Index sustainable waste management India,https://conferenceindex.org/conferences/sustainable-waste-management/india,none,india,n/a,n/a,n/a,not_eligible,Conference index listing many programmes,yes,yes
N6,negative,directory,ConferenceAlerts waste management,https://conferencealerts.co.in/waste-management,none,india,n/a,n/a,n/a,not_eligible,Event calendar listing many programmes,yes,yes
N7,negative,directory,10times recycling and waste events India,https://10times.com/india/waste-management,none,india,n/a,n/a,n/a,not_eligible,Event directory,yes,yes
N8,negative,press_release,A Design Award call for entries press release,https://www.einnews.com/pr_news/941723937/,none,global,n/a,n/a,n/a,not_eligible,Press release about the award not the award's own page,yes,yes
N9,negative,finished_edition,National Startup Awards 5.0 results,https://www.startupindia.gov.in/nsa5.0results/Circular,none,india,closed,n/a,n/a,not_eligible,Results page for a finished edition listing winners and finalists,yes,yes
N10,negative,news,CircularOS wins Circular Economy Innovation Award,https://www.greatcompanies.in/post/circularos-wins,none,india,n/a,n/a,n/a,not_eligible,News article about another company's win,yes,yes
N11,negative,news,Seco Tools wins India CSR award,https://www.secotools.com/article/organic_waste_management,none,india,n/a,n/a,n/a,not_eligible,News article about another company's win,yes,yes
N12,negative,awards_wall,Feedback Foundation awards and recognition,https://feedbackfoundation.in/awards-recognition,none,india,n/a,n/a,n/a,not_eligible,An organisation's own wall of awards already received,yes,yes
N13,negative,awards_wall,Re.One awards and recognitions,https://re.one/about/awards,none,india,n/a,n/a,n/a,not_eligible,An organisation's own wall of awards already received,yes,yes
N14,negative,award,A Circular Economy and Waste Reduction Design Award,https://competition.adesignaward.com/ada-category.php?C=148,function,global,open,2026-09-30,acceptance fee on win,not_eligible,Entrants are designers consultants and specialists; design competition with acceptance fee,yes,yes
N15,negative,not_a_programme,Circular Economy Alliance,https://circulareconomyalliance.com,none,global,n/a,n/a,n/a,not_eligible,Sells training and certification courses; not a programme anyone enters,yes,yes
N16,negative,not_a_programme,Gravita India circular economy blog,https://www.gravitaindia.com/blogs/recycling-for-a-circular-economy,none,india,n/a,n/a,n/a,not_eligible,Corporate blog post,yes,yes
