label,query,title,url,snippet,kind,tavily_rank,tavily_score,notes
2,circular economy awards 2027 call for entries India,A' Circular Economy and Waste Reduction Design Award 2027,https://competition.adesignaward.com/ada-category.php?C=148,"## Circular Economy Entries  ### The Circular Economy Award is open for all type of circular economy, including but not limited to circular economy designs, waste management systems, zero-waste strategies, sustainable product design, packaging redesign, upcycling projects, composting systems, energy",planner,1,0.8837,"globally open, on-topic category page"
2,circular economy awards 2027 call for entries India,ET Sustainability Awards | Sustainability Leadership Awards | ET Sustainability,https://sustainability.economictimes.indiatimes.com/sustainability-awards,"12th March, 2027  New Delhi  Express Interest  ## Overview  Sustainability is no longer optional but essential to long-term success. The Sustainability Awards honor organizations that embed environmental stewardship, social responsibility, and good governance into their operations. These awards cele",planner,2,0.723,ET Sustainability Awards own categories/overview page
0,circular economy awards 2027 call for entries India,Apply for the Green Ally Award: Europe's Start-up Competition on ...,https://www2.fundsforngos.org/economic-development/apply-for-the-green-ally-award-europes-start-up-competition-on-circular-economy,"Apply for the Green Alley Award, an annual European prize for start-ups and entrepreneurs in the circular economy, India Open Call for International",planner,3,0.5646,wrong geography - Europe (Green Alley Award)
2,circular economy awards 2027 call for entries India,Circular Economy Awards,https://circularityawards.com/,"March 2027  ##### STEP 6  Attend Global Circular Economy Forum & Award Ceremony    Learn, network, share your best practices and get awarded (if qualified) on stage at the live event in the UAE!     Make it known and publicize your Award! To know more, click    “ Forum & Ceremony ”  April 2027  ####",planner,4,0.56,"real entry mechanism, globally open, fee-based but not excluded by rubric"
0,circular economy awards 2027 call for entries India,Instagram,https://instagram.com/p/Dcgmi8WmsHp,"wegeprize's profile picture Photo by Wege Prize on August 26, 2026. May be a graphic of ‎poster, card, crossword puzzle, magazine and ‎text that says '‎HE P PERFECT PRIMER FOR WEGE PRIZE 2027 W WORLD CIRCULAR ECONOMY FORUM R 2 o 2 2 6 E PARTICIPATE PARTICIPATEONLINE ONLINE FOR FORFREE FREE םםם סםם S",planner,5,0.5231,social media
0,circular economy awards 2027 call for entries India,FICCI's Role in Advancing the Circular Economy in India | RECEIC Awards,https://ficci.in/event-details/26122525179582,"India’s textile sector, valued at $225 billion and projected to reach $350 billion by 2030, faces growing supply chain risks linked to climate vulnerability, resource dependence, regulatory pressures, and global market shifts. The knowledge paper Threading the Loop: Building Resilient and Responsibl",planner,6,0.497,"knowledge paper announcement, not a call for entries"
1,circular economy awards 2027 call for entries India,ICEF 2026 | Prestigious India Circular Economy Forum | ICCE,https://ic-ce.com/icef-2026,"## Who can apply?  This award is open to all organizations taking a ‘circular economy’ approach to overall organizational, site or project specific resources. The winning entry of this circular economy award will consider all aspects of not only waste reduction and recycling but will take a holistic",planner,7,0.4954,"forum/event overview page, not the specific award entry point"
0,circular economy awards 2027 call for entries India,The Awards 2027 | Green Product Award,https://gp-award.com/en/gpaward,"Karsten Bleymehl, Dipl. Des.  Founder of The Circular Materials GmbH, Karsten Bleymehl specializes in innovative materials for the circular economy. Formerly Director of Research at Material ConneXion in New York, he has advised global companies on sustainable product development. He teaches “Materi",planner,8,0.4767,wrong geography - Germany
0,circular economy awards 2027 call for entries India,"Global Circular Economy Awards & Forum - We validate organizations' Circular Economy strategy against international standards, and recognize proven achievements.",https://ae.linkedin.com/company/circularity-awards,"Global Circular Economy Awards is a validation program that benchmarks organizations’ Circular Economy strategy against international standards and frameworks. Every applicant receives a detailed, action-oriented feedback report prepared by competent Circular Economy practitioners to guide the next ",planner,9,0.4545,social media
0,circular economy awards 2027 call for entries India,The Green Skills Award is back! We want to keep celebrating ...,https://facebook.com/etfeuropa/posts/the-green-skills-award-is-backwe-want-to-keep-celebrating-projects-that-transfor/1333420092154603,"Calling all start-ups and entrepreneurs working towards a circular economy! ... of digital circular economy, recycling, and waste prevention. The",planner,10,0.3791,social media
0,circular economy awards 2027 call for entries India,Circular economy awards – Western Balkans Circular Economy Hub,https://wbcirculareconomy.com/circular-economy-awards,"1.Circular Economy Pioneer Award – Apply here  Recognizes individuals who have made outstanding contributions to advancing circular economy concepts through leadership, advocacy, or entrepreneurship.  2. Corporate Leadership in Circular Economy – Apply here  Honors companies that have seamlessly int",planner,11,0.318,wrong geography - Western Balkans
2,circular economy awards 2027 call for entries India,RECEIC Awards on Resource Efficiency and Circular Economy – RECEIC,https://receic.com/receic-awards,"The RECEIC Awards on Resource Efficiency and Circular Economy have been launched with a global focus, aiming to recognize and celebrate outstanding contributions to sustainability, resource efficiency, and circularity across industries. These awards encourage international participation and elevate ",planner,12,0.311,"India-linked (FICCI), real awards page"
0,circular economy awards 2027 call for entries India,Instagram,https://instagram.com/p/DXJgiCoCsxg,"Log In  Sign Up  teflasevents's profile picture  Never miss a post from teflasevents  Sign up for Instagram to stay in the loop.  Sign up  Log in  Photo by Tefla's on April 15, 2026.  teflasevents's profile picture  teflasevents  •  Follow  Mumbai, Maharashtra  teflasevents's profile picture  teflas",planner,13,0.3073,social media
0,circular economy awards 2027 call for entries India,► Have you achieved outstanding... - Dua Partner Invest,https://facebook.com/duapartnerinvest/posts/-have-you-achieved-outstanding-results-by-implementing-circular-practices-in-you/1741380220385290,"## Dua Partner Invest's Post  ### Dua Partner Invest  3d  ·  ► Have you achieved outstanding results by implementing circular practices in your company or organisation?  ► Did you design a product that focuses on resource efficiency, longevity and reparability?  ► Are you bringing the circular econo",planner,14,0.291,social media
0,circular economy awards 2027 call for entries India,EEF Global Safety Awards,https://ee-foundation.org/Energy-efficiancy.html,"## Shell Stand  It is appreciated if winners of the awards shall display the capability and expertise of the company in the form of exhibits. A shell space will be available for display your project achievements to all participants, government officials, industry leaders and management institutes. D",planner,15,0.2851,"unsure - geography unconfirmed, recurs often, worth a manual check"
0,circular economy awards 2027 call for entries India,Navarra Circular Economy Awards 2026: call for students' projects | European Circular Economy Stakeholder Platform,https://circulareconomy.europa.eu/platform/en/news-and-events/all-news/navarra-circular-economy-awards-2026-call-students-projects,"Innovation and investments  Country  Spain  Awards poster  This call aims to identify final cycle projects, Bachelor’s Final Projects, Degree Final Projects, Master’s Final Projects, doctoral theses or similar, developed by students from universities and vocational training centres across Europe.   ",planner,16,0.2611,wrong geography (Spain) and wrong entrant (students)
1,circular economy awards 2027 call for entries India,CII-ITC-CESD,https://sustainabledevelopment.in/,"Waste Diversion - 2.28 million metric ton waste diverted from landfill through ZWL  # One world. Numerous ways for sustainable excellence.  We work together with our industry partners on various multi-dimensional, intersecting intervention areas, sustainable alliances & brands to achieve sustainable",planner,17,0.2311,"CII-ITC-CESD homepage, right site"
0,circular economy awards 2027 call for entries India,World Waste-to-Wealth Summit & Expo,https://worldwaste2wealthexpo.in/awards.html,"# Nominations for The EEF Global Waste Management Awards 2027 are open on March 15, 2027 and will close on June 15, 2027. The EEF Global Waste Management Awards will be announced on June 20, 2027. Award Ceremony will be held on July 02, 2027.  Criteria for Nominations  Entering a nomination for the ",planner,18,0.1644,"wrong geography - UAE/Dubai, confirmed from earlier project research"
0,circular economy awards 2027 call for entries India,SUBMISSION REQUIREMENTS | KOKUYO DESIGN AWARD | KOKUYO,https://kokuyo.com/en/award/2027/requirements,"### ELIGIBLE ENTRIES :   Any stationery, furniture or tool used in working, learning and living scenes  ### ELIGIBILITY :   The competition accepts entries from any corporation, individual, or group that fulfills all the following requirements, regardless of their age, sex, occupation, or nationalit",planner,19,0.1064,wrong sector (stationery/furniture) and likely wrong geography (Japan)
0,circular economy awards 2027 call for entries India,Wipro earthian Competition on Waste Management (India),https://www2.fundsforngos.org/environment-2/wipro-earthian-competition-on-waste-management-india,Deadline: 30-Sep-2026 The Wipro earthian School Competition invites schools across India to engage students in Grades 6 to 12 in practical and analytical,planner,20,0.0422,wrong entrant - school students grades 6-12
0,waste management technology award 2027 nominations open India,World Waste Management Awards,https://worldwaste2wealthexpo.in/awards.html,"The EEF Waste Management Technology Idol Awards  The technology must be early stage and be able to demonstrate realistic expectations for commercialization.    In the event that the Project / Institution / Unit / Company is shortlisted after the nominations process,     a senior representative from ",planner,1,0.9035,"wrong geography - UAE/Dubai, confirmed from earlier project research"
1,waste management technology award 2027 nominations open India,PU Tech 2027 AWARDS - PU TECH INDIA 2027,https://putechindia.com/pu-tech-2027-awards,"NOMINATE NOW  ## AWARD CATEGORIES  ### ⁠Safety Champion  ### Centers on incident track records, a proactive safety culture, engineering and automation controls, and efforts toward community and people safety.  ### Recycling & Sustainability  ### Measures carbon and resource reduction, the use of bio",planner,2,0.8286,"India, real nomination mechanism, sector fit uncertain"
2,waste management technology award 2027 nominations open India,India Smart Utility Week,https://isuw.in/innovation-awards,"##   For 11th ISGF Innovation Awards 2027, the following award categories are open for nominations: Please refer below table for award categories and eligibility: [...] 10. The jury of the ISGF Innovation Award 2027 shall have the final authority in determining the winner of the award in each catego",planner,3,0.7307,"India, real nomination categories"
1,waste management technology award 2027 nominations open India,Press Release Page | Press Information Bureau,https://pib.gov.in/PressReleasePage.aspx?PRID=1823251,"Indian companies having innovative indigenous technologies at commercialization stage in waste management now have an opportunity for support to take them to the next stage.  Technology Development Board (TDB), a statutory body of Department of Science & Technology (DST), Government of India, has in",planner,4,0.6786,"real govt scheme announcement, not the application page itself"
2,waste management technology award 2027 nominations open India,Awards for Excellence in Recycling & Waste Management 13 May 26,https://awardsforexcellence.co.uk/,# Join us in 2027!  Register your interest below to be notified when the 2027 Awards for Excellence is open for entries  REGISTER YOUR INTEREST (opens in a new tab)  ## Relive the highlights   Highlights Homepage)    # 2025  2024)    # 2024  Highlights 2023)    # 2023  2022)    # 2022  SEE THEM IN F,planner,5,0.6704,"UK, real register-interest entry point"
1,waste management technology award 2027 nominations open India,Waste Management Technologies Program – India - AndPurpose,https://andpurpose.world/waste-management-technologies-program-india,"who will take the lead in the project, while Co-Principal Investigators may represent collaborating institutions. The scheme strongly encourages proposals that reflect collaboration across institutions and disciplines, thus enabling comprehensive, real-world solutions to complex environmental proble",planner,6,0.6345,"India govt-linked programme, entrant type (academic PI) uncertain"
2,waste management technology award 2027 nominations open India,World of Recycling - Home,https://worldofrecycling.in/,"logo  Material Recycling Machine, Equipment, Technology and Waste Management Expo  ## Register As  Image 1 Image 2  ### MATERIAL RECYCLING MACHINES, EQUIPMENTS, TECHNOLOGY AND WASTE MANAGEMENT EXPO  ## Types of Recycling  ## WHY ATTEND  ## Event Highlights  ## Concurrent Events  ### World Environmen",planner,7,0.6244,"India, real expo registration page, hardware-relevant"
0,waste management technology award 2027 nominations open India,"Closed grant — Call for Applications: Waste Management Technologies Program - India — for India by Government in Pollution & Waste Management (incl.  treatment), Research & Innovation sectors —  DevelopmentAid",https://developmentaid.org/grants/view/1508718/call-for-applications-waste-management-technologies-program-india,Developmentaid logo  ## Sign in  or  register for free  This site is protected by reCAPTCHA and the Google  Privacy Policy  and  Terms of Service  apply.  Banner Banner Banner Department of Science & Technology  # Call for Applications: Waste Management Technologies Program - India  ### Details  ###,planner,8,0.6011,aggregator listing
